text_id,headline,impressions,clicks,spend,registrations
text_001,Haraba - единая лента объявлений для поиска авто.,2105272,27472,240039,1615
text_002,Все авто с площадок в одном месте. Скачай Haraba сегодня,660575,14205,75159,410
text_003,Haraba дарит 30 дней тарифа Старт новым пользователям,768263,4050,28010,208
text_004,Все авто с площадок в Haraba - скачай сейчас и экономь,484435,5026,34083,185
text_005,Авто со всех известных площадок - скачай Haraba,570671,7617,37147,156
text_006,Покупай авто выгоднее с тарифом Старт в Haraba,190264,2003,59568,147
text_007,Покажем варианты ниже рынка в приложении Haraba,123479,2849,12425,62
text_008,Скачай приложение Haraba и получи 30 дней тарифа Старт,91314,310,27380,60
text_009,Покажем если цена ниже рынка. Экономь с Haraba,130774,3589,18210,58
text_010,Покупайте авто легко и быстро,127418,1072,5421,27
text_011,Покажем варианты ниже рынка на 10 минут раньше. Haraba,37204,1436,3756,24
text_012,30 дней тарифа Старт за 1 рубль в приложении Haraba,142675,532,4407,19
text_013,Установи Haraba и пользуйся тарифом Старт,51310,853,5223,13
text_016,Haraba дарит 7 дней тарифа Старт новым пользователям,84424,2110,10661,10
text_018,Haraba - единая лента объявлений для поиска авто,10176,663,1743,6
text_019,Перепродажа авто в кайф с Haraba,8195,633,1660,5
text_022,Начните с тарифа Старт — пробный месяц за 1 руб,41161,3554,7418,3
text_024,Haraba — ищите машины на которых легче заработать,14660,1355,2042,2
text_025,Всего 1 руб за 30 дней на тарифе Старт. Попробуйте,71719,3777,14937,2
text_027,Активируйте тариф Старт: один месяц за 1 руб,156542,3325,6625,1
text_028,Активируйте тариф Старт — 30 дней всего за 1 руб,101242,3161,8391,1
text_030,Тариф Старт за 1 руб! Ваш первый шаг к Haraba,43811,2362,4445,0
text_031,Не упустите тариф Старт! 30 дней за 1 руб для вас!,56709,2586,8893,0
text_032,Haraba — узнайте средний срок продажи авто,8737,631,1398,0
text_033,Найти ликвидные авто легче с Haraba,23832,422,904,0
text_034,Haraba: пробный тариф Старт на 30 дней за 1 руб,47172,3678,8549,0
